posto,ano,pico,duracao,volume
dona_francisca,1962,699.1,0,0.0
dona_francisca,1963,2166.1,2,527.72
dona_francisca,1964,1627.7,2,409.48
dona_francisca,1965,3037.8,7,1193.8
dona_francisca,1966,2523.5,2,587.82
dona_francisca,1967,2610.8,3,737.51
dona_francisca,1968,724.5,0,0.0
dona_francisca,1969,947.2,0,0.0
dona_francisca,1970,2092.7,2,489.47
dona_francisca,1971,4259.8,3,1074.69
dona_francisca,1972,3315.1,9,2212.75
dona_francisca,1973,3435.7,3,975.29
dona_francisca,1974,3443.1,2,776.14
dona_francisca,1975,2495.1,2,586.45
dona_francisca,1976,2342.8,1,404.84
dona_francisca,1977,2202.7,5,825.3
dona_francisca,1978,1761.9,4,652.61
dona_francisca,1979,2288.6,3,757.23
dona_francisca,1980,2357.0,2,499.4
dona_francisca,1981,1535.8,2,377.88
dona_francisca,1982,3423.0,3,966.0
dona_francisca,1983,3840.7,4,1265.56
dona_francisca,1984,4733.4,3,1325.28
dona_francisca,1985,2006.1,2,505.1
dona_francisca,1986,3355.1,3,1000.61
dona_francisca,1987,3455.7,2,776.04
dona_francisca,1988,3675.7,5,1477.02
dona_francisca,1989,3996.3,2,890.9
dona_francisca,1990,2652.8,2,633.06
dona_francisca,1991,1306.8,1,225.82
dona_francisca,1992,3248.2,2,699.03
dona_francisca,1993,2423.8,2,596.24
dona_francisca,1994,2550.4,2,602.12
dona_francisca,1995,1679.4,2,380.21
dona_francisca,1996,1593.1,1,275.29
dona_francisca,1997,4640.6,10,3341.37
dona_francisca,1998,2780.5,4,893.89
dona_francisca,1999,1383.7,2,351.63
dona_francisca,2000,2354.0,2,561.96
dona_francisca,2001,3422.2,4,1135.76
dona_francisca,2002,2111.9,2,479.45
dona_francisca,2003,4022.6,2,888.74
dona_francisca,2004,862.5,0,0.0
dona_francisca,2005,2364.9,3,727.56
dona_francisca,2006,1827.8,2,411.31
dona_francisca,2007,4137.5,3,1124.88
dona_francisca,2008,3276.9,3,874.03
dona_francisca,2009,2691.9,3,783.28
dona_francisca,2010,3124.4,2,760.13
dona_francisca,2011,3599.4,3,1033.69
dona_francisca,2012,2424.0,1,418.87
dona_francisca,2013,2127.5,2,461.84
dona_francisca,2014,3238.2,2,698.77
dona_francisca,2015,3625.8,2,882.94
dona_francisca,2016,3251.7,2,730.52
dona_francisca,2017,3611.2,4,1084.3
dona_francisca,2018,2371.3,2,588.82
dona_francisca,2019,2768.9,1,478.47
dona_francisca,2020,4261.3,4,1338.94
dona_francisca,2021,1649.5,1,285.03
dona_francisca,2022,2456.6,3,665.99
dona_francisca,2023,5266.6,6,1691.06
sao_roque,1941,2560.3,3,639.91
sao_roque,1942,1805.4,3,470.15
sao_roque,1943,1935.8,4,659.68
sao_roque,1944,412.7,0,0.0
sao_roque,1945,266.4,0,0.0
sao_roque,1946,928.3,8,597.24
sao_roque,1947,906.8,2,222.61
sao_roque,1948,1642.8,3,481.7
sao_roque,1949,534.7,0,0.0
sao_roque,1950,2469.5,3,690.45
sao_roque,1951,1372.9,6,611.32
sao_roque,1952,1002.4,2,226.65
sao_roque,1953,1326.7,10,796.18
sao_roque,1954,2309.2,6,930.72
sao_roque,1955,1541.9,6,717.62
sao_roque,1956,1041.5,8,612.01
sao_roque,1957,2277.5,29,2743.99
sao_roque,1958,1170.6,2,288.14
sao_roque,1959,843.0,1,145.67
sao_roque,1960,813.1,3,261.72
sao_roque,1961,1625.9,8,767.08
sao_roque,1962,948.6,3,284.83
sao_roque,1963,1479.1,2,347.79
sao_roque,1964,529.8,0,0.0
sao_roque,1965,2840.0,5,1153.51
sao_roque,1966,1464.1,2,319.52
sao_roque,1967,1788.3,2,384.95
sao_roque,1968,754.7,3,244.86
sao_roque,1969,1225.7,4,419.88
sao_roque,1970,892.2,7,499.68
sao_roque,1971,1535.7,2,326.48
sao_roque,1972,2770.7,4,981.51
sao_roque,1973,1765.5,7,765.81
sao_roque,1974,961.3,1,166.11
sao_roque,1975,1902.0,4,579.91
sao_roque,1976,1420.2,2,317.48
sao_roque,1977,2276.8,2,558.78
sao_roque,1978,477.8,0,0.0
sao_roque,1979,1641.9,6,641.01
sao_roque,1980,1696.8,4,565.76
sao_roque,1981,789.6,1,136.44
sao_roque,1982,2051.7,2,440.89
sao_roque,1983,5220.5,6,2650.59
sao_roque,1984,4594.4,4,1301.72
sao_roque,1985,539.8,1,93.28
sao_roque,1986,745.1,2,184.6
sao_roque,1987,1909.9,2,413.21
sao_roque,1988,953.5,3,288.74
sao_roque,1989,1937.7,4,684.4
sao_roque,1990,2951.4,9,1884.89
sao_roque,1991,889.8,1,153.76
sao_roque,1992,3074.9,8,1271.04
sao_roque,1993,1522.1,3,438.79
sao_roque,1994,1245.1,4,414.23
sao_roque,1995,1006.8,6,487.72
sao_roque,1996,971.1,2,234.76
sao_roque,1997,3033.7,13,1516.2
sao_roque,1998,2998.2,6,1063.01
sao_roque,1999,2368.5,2,481.47
sao_roque,2000,2360.2,4,646.07
sao_roque,2001,3377.8,4,959.56
sao_roque,2002,885.9,3,289.08
sao_roque,2003,998.1,3,295.04
sao_roque,2004,1163.5,2,253.32
sao_roque,2005,2288.4,6,886.31
sao_roque,2006,696.6,1,120.37
sao_roque,2007,1389.6,2,319.7
sao_roque,2008,1526.0,14,1466.11
sao_roque,2009,2094.1,2,535.71
sao_roque,2010,2353.2,5,945.22
sao_roque,2011,3222.5,31,3298.11
sao_roque,2012,1075.5,1,185.85
sao_roque,2013,2241.4,3,705.97
sao_roque,2014,3542.6,4,1048.02
sao_roque,2015,2808.6,28,3357.9
sao_roque,2016,876.1,2,198.19
sao_roque,2017,3143.9,10,1936.6
sao_roque,2018,1328.1,3,374.63
sao_roque,2019,1510.0,3,422.03
sao_roque,2020,873.4,3,270.89
sao_roque,2021,1048.8,2,230.0
sao_roque,2022,3418.0,3,856.09
sao_roque,2023,5268.4,46,6840.95
garibaldi,1941,2963.1,3,731.32
garibaldi,1942,2078.3,3,542.06
garibaldi,1943,2323.0,4,774.86
garibaldi,1944,490.5,0,0.0
garibaldi,1945,321.0,0,0.0
garibaldi,1946,1101.6,8,712.03
garibaldi,1947,1076.4,2,261.33
garibaldi,1948,1988.4,3,563.12
garibaldi,1949,636.0,0,0.0
garibaldi,1950,2925.2,3,802.34
garibaldi,1951,1662.2,6,726.49
garibaldi,1952,1152.4,2,257.6
garibaldi,1953,1606.1,11,1091.34
garibaldi,1954,2660.9,6,1089.23
garibaldi,1955,1811.2,6,849.15
garibaldi,1956,1254.9,9,841.84
garibaldi,1957,2715.2,29,3298.64
garibaldi,1958,1391.0,2,336.93
garibaldi,1959,965.2,1,166.79
garibaldi,1960,986.4,3,311.63
garibaldi,1961,1954.5,8,911.87
garibaldi,1962,1135.7,2,281.53
garibaldi,1963,1753.3,3,555.5
garibaldi,1964,629.6,0,0.0
garibaldi,1965,3415.9,4,1305.88
garibaldi,1966,1660.9,2,362.2
garibaldi,1967,2018.3,2,433.71
garibaldi,1968,902.2,3,292.14
